ID,city,district,location,organizer,serial_number,course_name,category,teacher,start_date,end_date,classtime,classroom,charge,intro,figure,signup,relate_website
kh_lc悠活人生旅遊班(鳳山)2016-04-19,高雄市,鳳山區,高雄市鳳山區青年路二段77號,獅甲會館,022870,悠活人生旅遊班(鳳山),興趣才藝,吳坤熙,2016-04-19,2016-06-21,每周二 晚上0700~0900,鳳山文化館101教室,優惠身份: 1100元     一般民眾: 1200元,"台灣的國家公園.國家風景區.森林遊樂區.溫泉區各縣市山區.河川.人文生態.觀光旅遊資源如何旅遊.?些甚麼",,http://college.kcg.gov.tw/class_info.asp?C_name=%b1y%ac%a1%a4H%a5%cd%ae%c8%b9C%afZ(%bb%f1%a4s),http://college.kcg.gov.tw/class_file/1/2527/88-22-吳坤熙-悠活人生旅遊(鳳山)-870.doc
kh_lc家庭製酒與釀造食品(鳳山)2016-04-22,高雄市,鳳山區,高雄市鳳山區青年路二段77號,獅甲會館,022871,家庭製酒與釀造食品(鳳山),興趣才藝,廖才傳,2016-04-22,2016-06-24,每周五 晚上0700~0900,鳳山文化館101教室,優惠身份: 1100元     一般民眾: 1200元,"從簡易家庭製酒中教導學員了解穀物與水果經發酵釀造後的物質變化、及利用麴菌的作用加工製造我們日常所需的食品！",,http://college.kcg.gov.tw/class_info.asp?C_name=%aea%aex%bbs%b0s%bbP%c6C%b3y%ad%b9%ab~(%bb%f1%a4s),http://college.kcg.gov.tw/class_file/1/2526/90-22期-廖才傳-家庭製酒與釀造食品(鳳山4)-873.docx
kh_lc家庭製酒與釀造食品(鳳山)2016-04-21,高雄市,鳳山區,高雄市鳳山區青年路二段77號,獅甲會館,022873,家庭製酒與釀造食品(鳳山),興趣才藝,廖才傳,2016-04-21,2016-06-23,每周四 早上0930~1130,鳳山文化館101教室,優惠身份: 1100元     一般民眾: 1200元,"從簡易家庭製酒中教導學員了解穀物與水果經發酵釀造後的物質變化、及利用麴菌的作用加工製造我們日常所需的食品！",,http://college.kcg.gov.tw/class_info.asp?C_name=%aea%aex%bbs%b0s%bbP%c6C%b3y%ad%b9%ab~(%bb%f1%a4s),http://college.kcg.gov.tw/class_file/1/2525/89-22期-廖才傳-家庭製酒與釀造食品(鳳山5)-871.docx
kh_lc二胡入門A班(鳳山)2016-04-20,高雄市,鳳山區,高雄市鳳山區青年路二段77號,獅甲會館,022874,二胡入門A班(鳳山),樂器音樂,俞雪琴,2016-04-20,2016-06-22,每周三 早上0930~1130,鳳山文化館201教室,優惠身份: 1400元     一般民眾: 1500元,"二胡是一樣非常優美、有趣，又饒富內涵的樂器，她的聲音能夠輕易地打動人心，極富親和力。本班教學內容將以二胡的「基本姿勢養成」為主，並以「各地民謠、童謠，以及國台語老歌、國台語流行歌曲」為練習教材，按步就班打好二胡基礎，輕鬆學會看譜、打拍子，達到培養興趣、增加生活樂趣為目的。",,http://college.kcg.gov.tw/class_info.asp?C_name=%a4G%adJ%a4J%aa%f9A%afZ(%bb%f1%a4s),http://college.kcg.gov.tw/class_file/1/2616/二胡入門A班鳳山.doc
kh_lc生活茶藝(鳳山)2016-04-20,高雄市,鳳山區,高雄市鳳山區青年路二段77號,獅甲會館,022875,生活茶藝(鳳山),健康養生,陳筱寶,2016-04-20,2016-06-22,每周三 早上1000~1200,鳳山文化館101教室,優惠身份: 1100元     一般民眾: 1200元,"一、茶葉大國的興起與崩落二、認識現代茶藝與茶道之不同三、認識泡茶四、茶葉介紹五、茶具介紹六、水質對茶湯的影響七、各種泡茶法介紹八、茶席設計九、題材及表現方法十、設計技巧十一、服儀選擇與搭配十二、茶席花藝十三、茶點介紹十四、裝置與裝飾藝術之周邊設計十五、茶席",,http://college.kcg.gov.tw/class_info.asp?C_name=%a5%cd%ac%a1%af%f9%c3%c0(%bb%f1%a4s),http://college.kcg.gov.tw/class_file/1/2617/92-22期-陳筱寶老師-生活茶藝(鳳山)-875.docx
kh_lc二胡基礎班(鳳山)2016-04-20,高雄市,鳳山區,高雄市鳳山區青年路二段77號,獅甲會館,022876,二胡基礎班(鳳山),樂器音樂,俞雪琴,2016-04-20,2016-06-22,每周三 晚上0700~0900,鳳山文化館201教室,優惠身份: 1400元     一般民眾: 1500元,"二胡是非常優美動聽的樂器，本班課程內容以大家聽過的民謠為主軸，再加入專業的二胡演奏觀念，輕鬆打好二胡基礎，同時學會看譜和基礎樂理。本班適合原班舊生，以及有二胡「第一把位、小指」之基礎的新同學參加。",,http://college.kcg.gov.tw/class_info.asp?C_name=%a4G%adJ%b0%f2%c2%a6%afZ(%bb%f1%a4s),http://college.kcg.gov.tw/class_file/1/2524/二胡基礎班鳳山.doc
kh_lc口琴吹奏速成班(鳳山)2016-04-22,高雄市,鳳山區,高雄市鳳山區青年路二段77號,獅甲會館,022877,口琴吹奏速成班(鳳山),樂器音樂,林聰輝,2016-04-22,2016-06-24,每周五 晚上0700~0900,鳳山文化館202教室,優惠身份: 1100元     一般民眾: 1200元,"1. 採用音樂自然學習法。2. 輔以電腦多媒體影音輔助教學，   第一堂課即可以吹奏小蜜蜂,小星星等簡易歌曲。3. 針對每位學員的個別進度個別指導。4. 教授善用電腦.手機和平板進行輔助音樂學習的技巧。",,http://college.kcg.gov.tw/class_info.asp?C_name=%a4f%b5^%a7j%ab%b5%b3t%a6%a8%afZ(%bb%f1%a4s),http://college.kcg.gov.tw/class_file/1/2523/94-22-林聰輝-口琴歡樂吹奏速成班(鳳山)-877.doc
kh_lc樂活茶藝(鳳山)2016-04-20,高雄市,鳳山區,高雄市鳳山區青年路二段77號,獅甲會館,022879,樂活茶藝(鳳山),興趣才藝,陳筱寶,2016-04-20,2016-06-22,每周三 下午0200~0400,鳳山文化館101教室,優惠身份: 1100元     一般民眾: 1200元,"壹、認知篇 一、何謂茶藝 二、認識泡茶 三、泡茶的三項基本功貳、技藝篇 一、認識茶葉 二、水質對茶湯的影響 三、認識茶具及搭    配 四、泡茶三要素 五、茶的保健與養生 六、各種泡茶法介紹     七、小壺泡法介紹與示範 八、蓋杯泡法介紹與示範",,http://college.kcg.gov.tw/class_info.asp?C_name=%bc%d6%ac%a1%af%f9%c3%c0(%bb%f1%a4s),http://college.kcg.gov.tw/class_file/1/2618/95-22期-陳筱寶老師-樂活茶藝(鳳山)-879.docx
kh_lc小提琴2016-04-19,高雄市,前鎮區,高雄市前鎮區中山三路132號,獅甲會館,022880,小提琴,樂器音樂,林蕙珊,2016-04-19,2016-06-21,每周二 晚上0500~0630,鳳山文化館201教室,優惠身份: 1400元     一般民眾: 1500元,"1.以耳熟能詳之樂曲，引發學習動機。2.學習讀譜與節奏能力，培養相對音感。3.個別指導，溫故知新。4.自編教材，可依照程度調整進度。5.增進學生休閒娛樂、陶冶性情，培養音樂演奏及欣賞素養能力。",,http://college.kcg.gov.tw/class_info.asp?C_name=%a4p%b4%a3%b5^,http://college.kcg.gov.tw/class_file/1/2615/98-22期-林蕙珊-小提琴-880.doc
kh_lc烏克麗麗2016-04-24,高雄市,前鎮區,高雄市前鎮區中山三路132號,獅甲會館,022882,烏克麗麗,樂器音樂,林蕙珊,2016-04-24,2016-06-26,每周日 早上0930~1130,鳳山文化館201教室,優惠身份: 1400元     一般民眾: 1500元,"1.以耳熟能詳之樂曲，引發學習動機。 2.認識五線譜、簡譜及四線譜。3.除單音彈奏樂曲，及和弦伴奏方式自彈自唱。4.自編教材，可依照程度調整進度。5.增進學生休閒娛樂、陶冶性情，培養音樂演奏及欣賞素養能力。",,http://college.kcg.gov.tw/class_info.asp?C_name=%afQ%a7J%c4R%c4R,http://college.kcg.gov.tw/class_file/1/2625/99-22期-林蕙珊-烏克麗麗-882.doc
